document_type,description,file_number
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-10-006632 (34 Act)  Size: 2 KB,001-1403710010801
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-10-002155 (34 Act)  Size: 147 KB",001-1403710760566
8-K,"Current report, items 5.02, 5.07, and 9.01
Acc-no: 0001193125-10-093470 (34 Act)  Size: 139 KB",001-1403710771041
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-10-113077 (34 Act)  Size: 3 MB,001-1403710813365
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-10-147380 (34 Act)  Size: 197 KB",001-1403710918016
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-10-004441 (34 Act)  Size: 228 KB",001-1403710975981
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-10-173080 (34 Act)  Size: 9 MB,001-1403710983093
S-3ASR,Automatic shelf registration statement of securities of well-known seasoned issuersAcc-no: 0001193125-10-173219 (33 Act)  Size: 685 KB,333-16845310983356
424B5,Prospectus [Rule 424(b)(5)]Acc-no: 0001193125-10-189588 (33 Act)  Size: 458 KB,333-168453101017344
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001193125-10-190428 (34 Act)  Size: 15 KB,333-168453101021163
8-K,"Current report, items 1.01, 7.01, and 9.01
Acc-no: 0001193125-10-190800 (34 Act)  Size: 143 KB",001-14037101021799
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-10-191335 (33 Act)  Size: 463 KB,333-168453101023558
8-K,"Current report, items 1.01, 2.03, and 9.01
Acc-no: 0001193125-10-193121 (34 Act)  Size: 554 KB",001-14037101028056
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-10-006225 (34 Act)  Size: 211 KB",001-14037101146356
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-10-243914 (34 Act)  Size: 9 MB,001-14037101157187
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-10-265306 (33 Act)  Size: 73 KB,333-170753101208043
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-10-265298 (33 Act)  Size: 87 KB,333-170727101206059
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000315066-10-003961 (34 Act)  Size: 11 KB,005-55475101245113
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-10-284538 (34 Act)  Size: 55 KB",001-14037101263434
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001193125-11-002389 (34 Act)  Size: 72 KB",001-1403711512734
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001422848-11-000003 (34 Act)  Size: 9 KB,005-5547511520182
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-11-000579 (34 Act)  Size: 229 KB",001-1403711568491
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001086364-11-003384 (34 Act)  Size: 14 KB,005-5547511577903
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-11-000987 (34 Act)  Size: 2 KB,001-1403711005716
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001422849-11-000254 (34 Act)  Size: 9 KB,005-5547511601544
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001036325-11-000107 (34 Act)  Size: 10 KB,005-5547511602419
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-11-035402 (34 Act)  Size: 144 KB,005-5547511609285
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-11-047974 (34 Act)  Size: 19 MB",001-1403711642922
8-K,"Current report, item 5.02
Acc-no: 0001193125-11-052313 (34 Act)  Size: 12 KB",001-1403711652657
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-11-060830 (34 Act)  Size: 29 KB,001-1403711675051
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-11-060827 (34 Act)  Size: 56 KB,001-1403711675043
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-11-060824 (34 Act)  Size: 1 MB,001-1403711675034
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-11-004427 (34 Act)  Size: 1 KB,001-1403711005323
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-11-090926 (34 Act)  Size: 130 KB,001-1403711744858
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-11-090927 (34 Act)  Size: 57 KB,001-1403711744864
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-11-090930 (34 Act)  Size: 30 KB,001-1403711744873
8-K,"Current report, items 5.02, 5.07, and 9.01
Acc-no: 0001193125-11-107847 (34 Act)  Size: 50 KB",001-1403711777943
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-11-002298 (34 Act)  Size: 118 KB",001-1403711781715
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-11-124482 (34 Act)  Size: 7 MB,001-1403711808042
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-11-038699 Size: 59 KB,
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-11-172882 (34 Act)  Size: 229 KB",001-1403711929690
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-11-175675 Size: 6 KB,
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001036325-11-000147 (34 Act)  Size: 10 KB,005-5547511960233
SC 13D,General statement of acquisition of beneficial ownershipAcc-no: 0001418812-11-000062 (34 Act)  Size: 38 KB,005-5547511977685
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-11-196261 Size: 53 KB,
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-11-004278 (34 Act)  Size: 287 KB",001-1403711988798
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-11-206791 (34 Act)  Size: 8 MB,001-14037111005097
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-11-049783 Size: 45 KB,
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0001418812-11-000074 (34 Act)  Size: 38 KB,005-55475111053357
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-11-006039 (34 Act)  Size: 184 KB",001-14037111160403
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-11-293050 (34 Act)  Size: 46 KB",001-14037111175394
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-11-293258 (34 Act)  Size: 8 MB,001-14037111175763
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001086364-11-006238 (34 Act)  Size: 12 KB,005-55475111194179
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001086364-11-006292 (34 Act)  Size: 12 KB,005-55475111194751
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-12-000590 (34 Act)  Size: 199 KB",001-1403712579753
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001422849-12-000268 (34 Act)  Size: 8 KB,005-5547512591327
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-12-081639 (34 Act)  Size: 17 MB",001-1403712642218
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-12-099296 (34 Act)  Size: 30 KB,001-1403712671432
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-12-099287 (34 Act)  Size: 59 KB,001-1403712671409
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-12-099268 (34 Act)  Size: 1 MB,001-1403712671343
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-12-002270 (34 Act)  Size: 1 KB,001-1403712025549
8-K,"Current report, items 5.07 and 8.01
Acc-no: 0001193125-12-173297 (34 Act)  Size: 29 KB",001-1403712771412
8-K,"Current report, items 1.01, 2.03, and 9.01
Acc-no: 0001193125-12-178825 (34 Act)  Size: 541 KB",001-1403712776150
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-12-002121 (34 Act)  Size: 104 KB",001-1403712781424
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-12-201802 (34 Act)  Size: 8 MB,001-1403712802350
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-12-272604 (34 Act)  Size: 236 KB",001-1403712910822
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-12-312528 (34 Act)  Size: 174 KB",001-1403712977268
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-12-003901 (34 Act)  Size: 191 KB",001-1403712985976
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-12-040100 Size: 126 KB,
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-12-320952 (34 Act)  Size: 10 MB,001-1403712991973
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-12-344063 Size: 18 KB,
424B5,Prospectus [Rule 424(b)(5)]Acc-no: 0001193125-12-356727 (33 Act)  Size: 405 KB,333-168453121035382
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001193125-12-357766 (34 Act)  Size: 17 KB,333-168453121038127
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-12-359161 (33 Act)  Size: 418 KB,333-168453121040464
8-K,"Current report, items 1.01, 2.03, 8.01, and 9.01
Acc-no: 0001193125-12-362080 (34 Act)  Size: 267 KB",001-14037121045661
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-12-366928 Size: 34 KB,
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-12-047437 Size: 201 KB,
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-12-005435 (34 Act)  Size: 369 KB",001-14037121162807
8-K,"Current report, items 5.03 and 9.01
Acc-no: 0001193125-12-439936 (34 Act)  Size: 74 KB",001-14037121167428
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-12-452563 (34 Act)  Size: 11 MB,001-14037121181527
SC 13D/A,[Amend] General statement of acquisition of beneficial ownershipAcc-no: 0001418812-13-000002 (34 Act)  Size: 39 KB,005-5547513521289
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-13-000616 (34 Act)  Size: 339 KB",001-1403713584733
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001422849-13-000250 (34 Act)  Size: 8 KB,005-5547513600900
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-13-004765 (34 Act)  Size: 52 KB,005-5547513601248
PRE 14A,Other preliminary proxy statementsAcc-no: 0001193125-13-071706 (34 Act)  Size: 1 MB,001-1403713635148
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-13-074571 (34 Act)  Size: 18 MB",001-1403713640603
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-13-094000 (34 Act)  Size: 60 KB,001-1403713670205
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-13-093999 (34 Act)  Size: 45 KB,001-1403713670203
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-13-093988 (34 Act)  Size: 1 MB,001-1403713670161
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-13-003142 (34 Act)  Size: 1 KB,001-1403713000483
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-13-138932 (34 Act)  Size: 31 KB,001-1403713737221
8-K,"Current report, items 5.02, 5.03, 5.07, and 9.01
Acc-no: 0001193125-13-165172 (34 Act)  Size: 258 KB",001-1403713774477
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-13-002329 (34 Act)  Size: 207 KB",001-1403713810316
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-13-199200 (34 Act)  Size: 12 MB,001-1403713812967
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-13-259846 (34 Act)  Size: 240 KB",001-1403713915120
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-13-003466 (34 Act)  Size: 289 KB",001-1403713982526
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-13-310605 (34 Act)  Size: 14 MB,001-1403713996898
S-3ASR,Automatic shelf registration statement of securities of well-known seasoned issuersAcc-no: 0001193125-13-310668 (33 Act)  Size: 345 KB,333-19025913996977
424B5,Prospectus [Rule 424(b)(5)]Acc-no: 0001193125-13-323116 (33 Act)  Size: 381 KB,333-190259131015883
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-13-327118 (33 Act)  Size: 392 KB,333-190259131023044
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001193125-13-324628 (34 Act)  Size: 15 KB,333-190259131019381
8-K,"Current report, items 1.01, 2.03, 8.01, and 9.01
Acc-no: 0001193125-13-331124 (34 Act)  Size: 268 KB",001-14037131030419
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-13-004950 (34 Act)  Size: 413 KB",001-14037131169285
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-13-420742 (34 Act)  Size: 14 MB,001-14037131182539
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-13-442141 (33 Act)  Size: 62 KB,333-192333131220140
S-8,Securities to be offered to employees in employee benefit plansAcc-no: 0001193125-13-442142 (33 Act)  Size: 61 KB,333-192334131220155
8-K,"Current report, items 5.02 and 9.01
Acc-no: 0001193125-13-477876 (34 Act)  Size: 25 KB",001-14037131286110
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0001086364-14-001162 (34 Act)  Size: 13 KB,005-5547514558521
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-14-000491 (34 Act)  Size: 371 KB",001-1403714581885
NO ACT,[Paper]No Action LetterAcc-no: 9999999997-14-001130 (34 Act)  Size: 1 KB,001-1403714005363
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-14-003451 (34 Act)  Size: 52 KB,005-5547514593286
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001422849-14-000217 (34 Act)  Size: 8 KB,005-5547514607739
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001193125-14-054903 (34 Act)  Size: 116 KB,005-5547514617350
10-K/A,"[Amend] Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-14-073457 (34 Act)  Size: 1 MB",001-1403714650358
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-14-070371 (34 Act)  Size: 23 MB",001-1403714646434
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-14-083842 (34 Act)  Size: 37 KB,001-1403714668005
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-14-083854 (34 Act)  Size: 61 KB,001-1403714668013
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-14-083822 (34 Act)  Size: 1 MB,001-1403714667973
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-14-003653 (34 Act)  Size: 1 KB,001-1403714005570
8-K,"Current report, item 5.07
Acc-no: 0001193125-14-150768 (34 Act)  Size: 19 KB",001-1403714774022
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-14-001591 (34 Act)  Size: 223 KB",001-1403714783056
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-14-173598 (34 Act)  Size: 12 MB,001-1403714801443
SC 13G,Statement of acquisition of beneficial ownership by individualsAcc-no: 0000902664-14-002689 (34 Act)  Size: 109 KB,005-5547514883476
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-14-238983 (34 Act)  Size: 188 KB",001-1403714925126
424B5,Prospectus [Rule 424(b)(5)]Acc-no: 0001193125-14-261389 (33 Act)  Size: 351 KB,333-19025914962186
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001193125-14-262231 (34 Act)  Size: 16 KB,333-19025914963996
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-14-263325 (34 Act)  Size: 162 KB",001-1403714966230
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-14-263346 (33 Act)  Size: 376 KB,333-19025914966242
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-14-270522 (34 Act)  Size: 152 KB",001-1403714978646
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-14-002998 (34 Act)  Size: 351 KB",001-1403714992675
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-14-289987 (34 Act)  Size: 12 MB,001-14037141007248
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-14-004065 (34 Act)  Size: 372 KB",001-14037141171158
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-14-387388 (34 Act)  Size: 13 MB,001-14037141180804
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-15-000439 (34 Act)  Size: 421 KB",001-1403715582045
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000215457-15-000335 (34 Act)  Size: 13 KB,005-5547515586852
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-15-004972 (34 Act)  Size: 39 KB,005-5547515597223
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0001422849-15-000253 (34 Act)  Size: 8 KB,005-5547515614200
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000902664-15-001160 (34 Act)  Size: 115 KB,005-5547515624405
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-15-063352 (34 Act)  Size: 24 MB",001-1403715649787
424B5,Prospectus [Rule 424(b)(5)]Acc-no: 0001193125-15-067015 (33 Act)  Size: 433 KB,333-19025915654909
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001193125-15-069731 (34 Act)  Size: 17 KB,333-19025915658782
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-15-070754 (34 Act)  Size: 189 KB",001-1403715661634
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-15-074657 (33 Act)  Size: 448 KB,333-19025915667783
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-15-076525 (34 Act)  Size: 38 KB,001-1403715672706
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-15-076520 (34 Act)  Size: 1 MB,001-1403715672688
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-15-076524 (34 Act)  Size: 35 KB,001-1403715672701
ARS,[Paper]Annual Report to Security HoldersAcc-no: 9999999997-15-005918 (34 Act)  Size: 1 KB,001-1403715005523
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-15-083614 (34 Act)  Size: 250 KB",001-1403715686572
8-A12B,Registration of securities [Section 12(b)]Acc-no: 0001193125-15-087708 (34 Act)  Size: 20 KB,001-1403715693973
CERTNYS,[Paper]Certification by the New York Stock Exchange approving securities for listingAcc-no: 9999999997-15-004676 (34 Act)  Size: 1 KB,001-1403715005240
8-K,"Current report, item 5.07
Acc-no: 0001193125-15-131762 (34 Act)  Size: 25 KB",001-1403715772967
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-15-022479 Size: 236 KB,
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-15-146021 Size: 16 KB,
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-15-001511 (34 Act)  Size: 237 KB",001-1403715821900
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-15-169057 (34 Act)  Size: 12 MB,001-1403715828680
8-K,"Current report, items 1.01, 2.03, and 9.01
Acc-no: 0001193125-15-187998 (34 Act)  Size: 632 KB",001-1403715862905
CORRESP,[Cover]CorrespondenceAcc-no: 0001193125-15-193766 Size: 25 KB,
UPLOAD,[Cover]SEC-generated letterAcc-no: 0000000000-15-028581 Size: 204 KB,
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-15-227363 (34 Act)  Size: 176 KB",001-1403715940505
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-15-002498 (34 Act)  Size: 385 KB",001-14037151003444
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-15-269166 (34 Act)  Size: 11 MB,001-14037151014232
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-15-003581 (34 Act)  Size: 464 KB",001-14037151185410
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-15-364771 (34 Act)  Size: 10 MB,001-14037151195250
424B5,Prospectus [Rule 424(b)(5)]Acc-no: 0001193125-15-374742 (33 Act)  Size: 378 KB,333-190259151221695
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001193125-15-375685 (34 Act)  Size: 13 KB,333-190259151225034
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-15-376795 (34 Act)  Size: 152 KB",001-14037151228202
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-15-377289 (33 Act)  Size: 390 KB,333-190259151230654
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-15-379715 (34 Act)  Size: 55 KB",001-14037151238404
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-16-004487 (34 Act)  Size: 439 KB",001-14037161390200
8-K,"Current report, items 5.02, 7.01, and 9.01
Acc-no: 0001193125-16-455741 (34 Act)  Size: 26 KB",001-14037161401758
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-16-010885 (34 Act)  Size: 39 KB,005-55475161402678
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000215457-16-005674 (34 Act)  Size: 13 KB,005-55475161403143
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-16-476427 (34 Act)  Size: 19 MB",001-14037161453687
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-16-489715 (34 Act)  Size: 35 KB,001-14037161476361
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-16-489706 (34 Act)  Size: 65 KB,001-14037161476344
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-16-489696 (34 Act)  Size: 1 MB,001-14037161476330
NRSRO-CE,Acc-no: 0001193125-16-519418 (34 Act)  Size: 1 MB,110-00155161531852
8-K,"Current report, items 5.02, 7.01, and 9.01
Acc-no: 0001193125-16-528700 (34 Act)  Size: 21 KB",001-14037161549026
8-K,"Current report, item 5.02
Acc-no: 0001193125-16-531036 (34 Act)  Size: 11 KB",001-14037161555937
8-K,"Current report, item 5.07
Acc-no: 0001193125-16-543188 (34 Act)  Size: 25 KB",001-14037161574531
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-16-005338 (34 Act)  Size: 252 KB",001-14037161602544
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-16-575475 (34 Act)  Size: 9 MB,001-14037161617111
8-K,"Current report, items 5.02, 7.01, and 9.01
Acc-no: 0001193125-16-610080 (34 Act)  Size: 20 KB",001-14037161690121
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-16-627870 (34 Act)  Size: 206 KB",001-14037161724832
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-16-006151 (34 Act)  Size: 388 KB",001-14037161778517
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-16-660481 (34 Act)  Size: 11 MB,001-14037161788035
8-K,"Current report, items 1.01, 2.03, and 9.01
Acc-no: 0001193125-16-670078 (34 Act)  Size: 173 KB",001-14037161803892
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-16-006927 (34 Act)  Size: 465 KB",001-14037161945302
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-16-744801 (34 Act)  Size: 11 MB,001-14037161947563
8-K,"Current report, items 1.01, 2.02, 7.01, and 9.01
Acc-no: 0001193125-17-010398 (34 Act)  Size: 298 KB",001-1403717529054
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000353480-17-001239 (34 Act)  Size: 13 KB,005-5547517546176
SC 13G/A,[Amend] Statement of acquisition of beneficial ownership by individualsAcc-no: 0000932471-17-001391 (34 Act)  Size: 49 KB,005-5547517590282
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-17-000540 (34 Act)  Size: 520 KB",001-1403717619767
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]Acc-no: 0001193125-17-054522 (34 Act)  Size: 21 MB",001-1403717634561
S-3ASR,Automatic shelf registration statement of securities of well-known seasoned issuersAcc-no: 0001193125-17-054548 (33 Act)  Size: 333 KB,333-21621117634587
424B5,Prospectus [Rule 424(b)(5)]Acc-no: 0001193125-17-057747 (33 Act)  Size: 374 KB,333-21621117639785
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001193125-17-059322 (34 Act)  Size: 41 KB,333-21621117643309
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-17-063130 (34 Act)  Size: 236 KB",001-1403717650871
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001193125-17-064224 (33 Act)  Size: 401 KB,333-21621117651895
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-17-069905 (34 Act)  Size: 168 KB",001-1403717664910
DEF 14A,Other definitive proxy statementsAcc-no: 0001193125-17-082998 (34 Act)  Size: 1 MB,001-1403717690215
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-17-083006 (34 Act)  Size: 38 KB,001-1403717690223
DEFA14A,Additional definitive proxy soliciting materials and Rule 14(a)(12) materialAcc-no: 0001193125-17-083012 (34 Act)  Size: 61 KB,001-1403717690233
8-K,"Current report, item 5.07
Acc-no: 0001193125-17-151760 (34 Act)  Size: 30 KB",001-1403717800648
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-17-001453 (34 Act)  Size: 322 KB",001-1403717816113
10-Q,Quarterly report [Sections 13 or 15(d)]Acc-no: 0001193125-17-162995 (34 Act)  Size: 11 MB,001-1403717824082
8-K,"Current report, items 1.01, 2.03, 7.01, and 9.01
Acc-no: 0001193125-17-169598 (34 Act)  Size: 1 MB",001-1403717841051
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-17-191485 (34 Act)  Size: 65 KB",001-1403717886156
8-K,"Current report, items 1.01, 1.02, 2.03, and 9.01
Acc-no: 0001193125-17-201435 (34 Act)  Size: 1 MB",001-1403717906512
11-K,"Annual report of employee stock purchase, savings and similar plansAcc-no: 0001193125-17-216846 (34 Act)  Size: 171 KB",001-1403717936272
8-K,"Current report, items 2.02, 7.01, and 9.01
Acc-no: 0001157523-17-002025 (34 Act)  Size: 331 KB",001-1403717975496
